{'temperature':534.67, 'engineering_strain_rate':500 }
time, transmitted displacement, incident displacement, load, engineering_strain, engineering_stress, displacement
1.699799999999999955e-04,8.417000000000000897e-06,1.203400000000000032e-04,7.176802516000000196e+02,1.411200000000000128e-02,5.799100000000000676e+01,4.406417322834646315e-03
1.751599999999999967e-04,1.253300000000000011e-05,1.404800000000000102e-04,7.253462385000000268e+02,1.604900000000000077e-02,5.860999999999999943e+01,5.037283464566929235e-03
1.803399999999999979e-04,1.201799999999999912e-05,1.475299999999999919e-04,7.321129894000000604e+02,1.777199999999999960e-02,5.915600000000000591e+01,5.335118110236220131e-03
1.855199999999999991e-04,9.960400000000000384e-06,1.676699999999999989e-04,7.393968009999999822e+02,1.961099999999999996e-02,5.974600000000000222e+01,6.209039370078740620e-03
1.906999999999999733e-04,1.150400000000000031e-05,1.797500000000000053e-04,7.466581317000001263e+02,2.126899999999999971e-02,6.033299999999999841e+01,6.623858267716536269e-03
1.958799999999999745e-04,1.201799999999999912e-05,1.928400000000000036e-04,7.536721724999999878e+02,2.312400000000000219e-02,6.089800000000000324e+01,7.118976377952755848e-03
2.062400000000000041e-04,1.047500000000000051e-05,2.331199999999999906e-04,7.668459798999999748e+02,2.711999999999999827e-02,6.196399999999999864e+01,8.765551181102362172e-03
2.114199999999999782e-04,1.356199999999999992e-05,2.421900000000000105e-04,7.740623487999999952e+02,2.897200000000000122e-02,6.254699999999999704e+01,9.001102362204724955e-03
2.165999999999999794e-04,1.510500000000000022e-05,2.583000000000000443e-04,7.802221154000000070e+02,3.088000000000000120e-02,6.304399999999999693e+01,9.574606299212600272e-03
2.217799999999999806e-04,1.819200000000000133e-05,2.764299999999999809e-04,7.875958506000000625e+02,3.263999999999999541e-02,6.364100000000000534e+01,1.016685039370078709e-02
2.269600000000000090e-04,1.356199999999999992e-05,2.935400000000000119e-04,7.941377925000000459e+02,3.501600000000000545e-02,6.416899999999999693e+01,1.102275590551181177e-02
2.321399999999999831e-04,1.716299999999999814e-05,3.136799999999999918e-04,8.002076355000000376e+02,3.703800000000000148e-02,6.465899999999999181e+01,1.167389763779527571e-02
2.373199999999999843e-04,1.870699999999999894e-05,3.328200000000000017e-04,8.060751503999999841e+02,3.915600000000000330e-02,6.513299999999999557e+01,1.236665354330708684e-02
2.424999999999999855e-04,1.819200000000000133e-05,3.428899999999999917e-04,8.109984675000000607e+02,4.097400000000000347e-02,6.553100000000000591e+01,1.278338582677165415e-02
2.476800000000000139e-04,1.973599999999999874e-05,3.620200000000000067e-04,8.166186925000000656e+02,4.293999999999999900e-02,6.598499999999999943e+01,1.347574803149606364e-02
2.528599999999999880e-04,1.819200000000000133e-05,3.861900000000000142e-04,8.224187647000001107e+02,4.511600000000000332e-02,6.645399999999999352e+01,1.448811023622047396e-02
2.580400000000000163e-04,1.922099999999999774e-05,3.952499999999999850e-04,8.279041042999999718e+02,4.695799999999999974e-02,6.689600000000000080e+01,1.480429133858267819e-02
2.632199999999999904e-04,2.127900000000000074e-05,4.153900000000000192e-04,8.324452461000000767e+02,4.897800000000000070e-02,6.726399999999999579e+01,1.551618110236220420e-02
2.683999999999999646e-04,2.385099999999999915e-05,4.365400000000000183e-04,8.379755475000000615e+02,5.071699999999999819e-02,6.771099999999999852e+01,1.624759842519685193e-02
2.735799999999999929e-04,2.282199999999999935e-05,4.526500000000000250e-04,8.426965364999999792e+02,5.301799999999999569e-02,6.809300000000000352e+01,1.692236220472441086e-02
2.787599999999999670e-04,2.693800000000000196e-05,4.647300000000000042e-04,8.481144334000000526e+02,5.422500000000000236e-02,6.853000000000000114e+01,1.723590551181102340e-02
2.839399999999999953e-04,2.385099999999999915e-05,4.808500000000000057e-04,8.527005370000000539e+02,5.675599999999999395e-02,6.890000000000000568e+01,1.799208661417323052e-02
2.891199999999999695e-04,2.487999999999999896e-05,5.009899999999999857e-04,8.574215260000000853e+02,5.874400000000000455e-02,6.928199999999999648e+01,1.874448818897637634e-02
2.942999999999999978e-04,2.693800000000000196e-05,5.191100000000000358e-04,8.622549195000000282e+02,6.059799999999999909e-02,6.967300000000000182e+01,1.937685039370078827e-02
2.994800000000000261e-04,2.642399999999999976e-05,5.342199999999999640e-04,8.671557557000000998e+02,6.218200000000000810e-02,7.006900000000000261e+01,1.999196850393700556e-02
3.046600000000000003e-04,2.590900000000000215e-05,5.513399999999999898e-04,8.709999896000000490e+02,6.467399999999999538e-02,7.037999999999999545e+01,2.068625984251968794e-02
3.098399999999999744e-04,2.796699999999999837e-05,5.704700000000000049e-04,8.757434595000000854e+02,6.619999999999999496e-02,7.076300000000000523e+01,2.135838582677165171e-02
3.150199999999999485e-04,2.539499999999999996e-05,5.865799999999999573e-04,8.804644485000000032e+02,6.830499999999999072e-02,7.114399999999999125e+01,2.209389763779527616e-02
3.201999999999999768e-04,3.002500000000000137e-05,6.006800000000000290e-04,8.848707048999999643e+02,7.006099999999999828e-02,7.150000000000000000e+01,2.246673228346456747e-02
3.253800000000000052e-04,3.002500000000000137e-05,6.167899999999999815e-04,8.888048624000000473e+02,7.207500000000000018e-02,7.181799999999999784e+01,2.310098425196850311e-02
3.305599999999999793e-04,2.951099999999999917e-05,6.339100000000000073e-04,8.931661569999999983e+02,7.376900000000000124e-02,7.217100000000000648e+01,2.379523622047244324e-02
3.357400000000000076e-04,2.590900000000000215e-05,6.580800000000000148e-04,8.974375280000000430e+02,7.625499999999998946e-02,7.251600000000000534e+01,2.488862204724409666e-02
3.409199999999999817e-04,3.156900000000000217e-05,6.701600000000000482e-04,9.019561889000000292e+02,7.791900000000000215e-02,7.288100000000000023e+01,2.514137795275590836e-02
3.461000000000000101e-04,3.002500000000000137e-05,6.902999999999999197e-04,9.061601172000000588e+02,7.971499999999999420e-02,7.322100000000000364e+01,2.599507874015747483e-02
3.512799999999999300e-04,3.259800000000000197e-05,7.054099999999999563e-04,9.100043511000000080e+02,8.184299999999999908e-02,7.353000000000000114e+01,2.648866141732283269e-02
